name	 tick	 DR
c16_alexnet_layer1;	 	9086	8280
c16_alexnet_layer2;	 	15999	16050
c16_alexnet_layer3;	 	15588	15552
c16_alexnet_layer4;	 	3912	3888
c16_alexnet_layer5;	 	2538	2520
c16_alexnet_layer6;	 	5807	5790
c16_alexnet_layer7;	 	7760	7740
c16_alexnet_layer8;	 	2000	1980
c16_lenet_layer1;	 	3640	3600
c16_lenet_layer2;	 	3624	3600
c16_lenet_layer3;	 	4633	4608
c16_lenet_layer4;	 	2324	2304
c16_lenet_layer5;	 	1604	1584
c16_resnet18_layer1;	 	7632	8640
c16_resnet18_layer10;	 	2956	2940
c16_resnet18_layer11;	 	1637	1620
c16_resnet18_layer12;	 	3215	3240
c16_resnet18_layer13;	 	13084	12960
c16_resnet18_layer14;	 	8333	8160
c16_resnet18_layer15;	 	5873	5670
c16_resnet18_layer16;	 	3799	3780
c16_resnet18_layer17;	 	1458	1440
c16_resnet18_layer2;	 	4070	4110
c16_resnet18_layer3;	 	4006	4110
c16_resnet18_layer5;	 	18180	16500
c16_resnet18_layer6;	 	10424	10368
c16_resnet18_layer7;	 	5276	5184
c16_resnet18_layer8;	 	5290	5184
c16_resnet18_layer9;	 	10510	10368
c16_resnet50_layer1;	 	15898	16350
c16_resnet50_layer10;	 	14179	13920
c16_resnet50_layer11;	 	12848	12990
c16_resnet50_layer12;	 	4069	4110
c16_resnet50_layer13;	 	15378	15540
c16_resnet50_layer14;	 	5296	5280
c16_resnet50_layer15;	 	8392	8370
c16_resnet50_layer2;	 	14342	14580
c16_resnet50_layer22;	 	7657	7800
c16_resnet50_layer23;	 	6779	7050
c16_resnet50_layer24;	 	8502	8280
c16_resnet50_layer25;	 	3336	3480
c16_resnet50_layer26;	 	4645	4608
c16_resnet50_layer27;	 	1729	1710
c16_resnet50_layer3;	 	8236	8430
c16_resnet50_layer4;	 	6374	6990
c16_resnet50_layer40;	 	904	900
c16_resnet50_layer41;	 	2658	2640
c16_resnet50_layer42;	 	8304	8160
c16_resnet50_layer43;	 	5538	5520
c16_resnet50_layer44;	 	6110	5760
c16_resnet50_layer45;	 	3800	3780
c16_resnet50_layer49;	 	11231	11040
c16_resnet50_layer5;	 	890	900
c16_resnet50_layer50;	 	594	576
c16_resnet50_layer6;	 	15906	16020
c16_VGG16_layer1;	 	10292	10860
c16_VGG16_layer10;	 	8927	8970
c16_VGG16_layer11;	 	5568	5550
c16_VGG16_layer13;	 	5621	5550
c16_VGG16_layer2;	 	6616	6690
c16_VGG16_layer3;	 	5195	5340
c16_VGG16_layer4;	 	7605	8220
c16_VGG16_layer5;	 	6168	6810
c16_VGG16_layer6;	 	6705	6810
c16_VGG16_layer7;	 	6360	6210
c16_VGG16_layer8;	 	4788	4950
c16_VGG16_layer9;	 	4520	4500
c16_alexnet_layer1;	 	9086	8280
c16_alexnet_layer2;	 	15999	16050
c16_alexnet_layer3;	 	15588	15552
c16_alexnet_layer4;	 	3912	3888
c16_alexnet_layer5;	 	2538	2520
c16_alexnet_layer6;	 	5807	5790
c16_alexnet_layer7;	 	7760	7740
c16_alexnet_layer8;	 	2000	1980
c16_lenet_layer1;	 	3640	3600
c16_lenet_layer2;	 	3624	3600
c16_lenet_layer3;	 	4633	4608
c16_lenet_layer4;	 	2324	2304
c16_lenet_layer5;	 	1604	1584
c16_resnet18_layer1;	 	7632	8640
c16_resnet18_layer10;	 	2956	2940
c16_resnet18_layer11;	 	1637	1620
c16_resnet18_layer12;	 	3215	3240
c16_resnet18_layer13;	 	13084	12960
c16_resnet18_layer14;	 	8333	8160
c16_resnet18_layer15;	 	5873	5670
c16_resnet18_layer16;	 	3799	3780
c16_resnet18_layer17;	 	1458	1440
c16_resnet18_layer2;	 	4070	4110
c16_resnet18_layer3;	 	4006	4110
c16_resnet18_layer5;	 	18180	16500
c16_resnet18_layer6;	 	10424	10368
c16_resnet18_layer7;	 	5276	5184
c16_resnet18_layer8;	 	5290	5184
c16_resnet18_layer9;	 	10510	10368
c16_resnet50_layer1;	 	15898	16350
c16_resnet50_layer10;	 	14179	13920
c16_resnet50_layer11;	 	12848	12990
c16_resnet50_layer12;	 	4069	4110
c16_resnet50_layer13;	 	15378	15540
c16_resnet50_layer14;	 	5296	5280
c16_resnet50_layer15;	 	8392	8370
c16_resnet50_layer2;	 	14342	14580
c16_resnet50_layer22;	 	7657	7800
c16_resnet50_layer23;	 	6779	7050
c16_resnet50_layer24;	 	8502	8280
c16_resnet50_layer25;	 	3336	3480
c16_resnet50_layer26;	 	4645	4608
c16_resnet50_layer27;	 	1729	1710
c16_resnet50_layer3;	 	8236	8430
c16_resnet50_layer4;	 	6374	6990
c16_resnet50_layer40;	 	904	900
c16_resnet50_layer41;	 	2658	2640
c16_resnet50_layer42;	 	8304	8160
c16_resnet50_layer43;	 	5538	5520
c16_resnet50_layer44;	 	6110	5760
c16_resnet50_layer45;	 	3800	3780
c16_resnet50_layer49;	 	11231	11040
c16_resnet50_layer5;	 	890	900
c16_resnet50_layer50;	 	594	576
c16_resnet50_layer6;	 	15906	16020
c16_VGG16_layer1;	 	10292	10860
c16_VGG16_layer10;	 	8927	8970
c16_VGG16_layer11;	 	5568	5550
c16_VGG16_layer13;	 	5621	5550
c16_VGG16_layer2;	 	6616	6690
c16_VGG16_layer3;	 	5195	5340
c16_VGG16_layer4;	 	7605	8220
c16_VGG16_layer5;	 	6168	6810
c16_VGG16_layer6;	 	6705	6810
c16_VGG16_layer7;	 	6360	6210
c16_VGG16_layer8;	 	4788	4950
c16_VGG16_layer9;	 	4520	4500
c16_darknet19_layer1;	 	7016	7890
c16_darknet19_layer10;	 	502	480
c16_darknet19_layer11;	 	10413	10368
c16_darknet19_layer12;	 	1093	1080
c16_darknet19_layer13;	 	1516	1500
c16_darknet19_layer14;	 	10457	9990
c16_darknet19_layer15;	 	9766	9750
c16_darknet19_layer16;	 	6074	5730
c16_darknet19_layer18;	 	19828	18900
c16_darknet19_layer19;	 	9194	9180
c16_darknet19_layer2;	 	9269	9390
c16_darknet19_layer3;	 	20791	20736
c16_darknet19_layer4;	 	1543	1560
c16_darknet19_layer5;	 	8096	7620
c16_darknet19_layer6;	 	15536	16830
c16_darknet19_layer7;	 	11408	11040
c16_darknet19_layer8;	 	6837	6570
c16_darknet19_layer9;	 	10534	10368
c16_resnet18_layer1;	 	8956	8640
c16_resnet18_layer10;	 	5527	5580
c16_resnet18_layer11;	 	5227	5184
c16_resnet18_layer12;	 	1323	1296
c16_resnet18_layer13;	 	10408	10368
c16_resnet18_layer14;	 	2056	2040
c16_resnet18_layer15;	 	36787	39915
c16_resnet18_layer16;	 	11868	11340
c16_resnet18_layer17;	 	37297	35640
c16_resnet18_layer2;	 	3920	3888
c16_resnet18_layer3;	 	13520	13530
c16_resnet18_layer5;	 	6060	6540
c16_resnet18_layer6;	 	2090	2070
c16_resnet18_layer7;	 	8479	8370
c16_resnet18_layer8;	 	4246	4230
c16_resnet18_layer9;	 	11803	11340
c16_vit_new_layer1;	 	9268	9216
c16_vit_new_layer2;	 	31604	29490
c16_vit_new_layer3;	 	285	270
c16_vit_new_layer4;	 	2092	2160
c16_vit_new_layer5;	 	11014	10740
c16_vit_new_layer6;	 	10392	10368
c16_vit_new_layer7;	 	5243	5700

